source_id,ra,dec,pmra,pmdec,phot_g_mean_mag,b_jkc_mag,v_jkc_mag,r_jkc_mag,i_jkc_mag,g_sdss_mag,r_sdss_mag,i_sdss_mag,c_star
1903156706723550336,339.2883332030974,34.51462111068967,-5.53940551641994,-1.110516931933681,16.214561462402344,18.30422019958496,16.85240936279297,15.962616920471191,15.15328311920166,17.64863395690918,16.2601375579834,15.670085906982422,-0.006430387496948242
1903157668796212608,339.2228909754684,34.55362966615701,14.093421812851526,-2.00462393144364,15.349438667297363,16.544963836669922,15.627622604370117,15.09311580657959,14.609837532043457,16.044355392456055,15.307278633117676,15.04313850402832,-0.0006864070892333984
1903136812435085184,339.3671742949528,34.24681610203024,-0.7120041796459479,-4.945472618026335,15.617289543151855,16.586994171142578,15.815922737121582,15.387260437011719,14.988537788391113,16.13909149169922,15.579465866088867,15.3982572555542,-0.006623029708862305
1903139664293353856,339.3767294892955,34.34057771071005,-6.356762614755125,-8.911526889927368,15.13245677947998,16.577579498291016,15.501349449157715,14.857375144958496,14.308370590209961,16.022804260253906,15.089510917663574,14.757282257080078,-0.00399017333984375
1903180036985902976,339.3799069773442,34.55231032943989,-7.087386217268826,-2.958893662633625,15.794926643371582,16.628376007080078,15.972243309020996,15.584395408630371,15.197068214416504,16.236988067626953,15.773158073425293,15.600851058959961,0.0004942417144775391
1903144371577506304,339.19802228685063,34.286677758494235,-3.2701953326455593,-3.265011196775814,16.003711700439453,17.124948501586914,16.254032135009766,15.766345024108887,15.302929878234863,16.639646530151367,15.975179672241211,15.72664737701416,-0.010630965232849121
1903175707658887936,339.46163437177563,34.46999699363961,6.495291113456596,0.14186533818352615,17.465559005737305,18.37947654724121,17.675138473510742,17.25891876220703,16.841291427612305,17.973047256469727,17.451921463012695,17.264150619506836,-0.02107536792755127
1903148597825124736,339.06909835890735,34.33744512166169,-8.627035348507432,6.646537572702016,13.664594650268555,14.525055885314941,13.850805282592773,13.456459045410156,13.064802169799805,14.123117446899414,13.645890235900879,13.47492504119873,-0.0008484125137329102
1903149800416173952,339.3375371056962,34.31503559845398,-5.512011756617418,-5.371011425248819,16.002979278564453,17.086753845214844,16.242372512817383,15.757058143615723,15.312751770019531,16.61336898803711,15.961009979248047,15.73399543762207,-0.003512144088745117
1903152686634177920,339.29665981998016,34.410665599836435,-1.5540971289136745,-3.1414353503999064,17.060094833374023,18.186893463134766,17.320966720581055,16.822633743286133,16.355655670166016,17.692474365234375,17.0312557220459,16.783214569091797,-0.007519125938415527
1903152858432863744,339.2853217059301,34.43665812886239,2.7758403867141834,-1.7875215010473937,13.917279243469238,14.703279495239258,14.087517738342285,13.718525886535645,13.349153518676758,14.32656192779541,13.901442527770996,13.753677368164062,-0.0006309747695922852
1903152583554965888,339.3205082345274,34.40781386456508,-1.1990190040548274,4.557334746509149,16.38605499267578,17.49041748046875,16.62851905822754,16.1452693939209,15.692953109741211,17.004737854003906,16.351911544799805,16.11651039123535,-0.008929729461669922
1903153889224834432,339.1765474963604,34.378714936570724,-2.666024720585183,-1.7011459376617841,13.218240737915039,14.196671485900879,13.415690422058105,12.985457420349121,12.58347225189209,13.747601509094238,13.178276062011719,12.995645523071289,-0.0030213594436645508
1903153957944309760,339.16035775460796,34.38008030934143,0.2578529752717999,-3.233777271122838,14.8007230758667,15.932817459106445,15.047203063964844,14.558085441589355,14.088630676269531,15.440869331359863,14.768166542053223,14.516606330871582,-0.0020744800567626953
1903154438980643840,339.2169887588655,34.42243643285049,3.1503362898887253,5.579927455211047,15.67111587524414,16.71211814880371,15.889819145202637,15.427961349487305,15.001078605651855,16.245424270629883,15.62730598449707,15.4178466796875,0.0011829137802124023
1903155091815665792,339.1308164955059,34.44266021440519,-8.415933590995797,-3.8244503732788804,17.117298126220703,18.23652458190918,17.381332397460938,16.882856369018555,16.414031982421875,17.74824333190918,17.092567443847656,16.842975616455078,-0.017952561378479004
1903899907864698624,339.03530083453626,34.42806100643007,-2.957825380138896,-1.3620720408194953,15.828008651733398,16.8644962310791,16.051239013671875,15.594440460205078,15.163383483886719,16.39703369140625,15.793743133544922,15.582829475402832,-0.002383112907409668
1903907295208435072,339.0735378388403,34.5322692342653,2.1292914435471175,-3.6942963827086874,16.12649154663086,17.399587631225586,16.412694931030273,15.853365898132324,15.355610847473145,16.86944007873535,16.07356071472168,15.789936065673828,0.008419394493103027
1903905749020221696,339.10085418033157,34.45481833080977,-16.292163200029247,-17.179245349475163,14.677117347717285,15.51988697052002,14.858851432800293,14.4705810546875,14.081524848937988,15.128654479980469,14.65963077545166,14.489325523376465,8.58306884765625e-05
1903907329568175488,339.1029255774435,34.52811756153577,-9.102362136601402,-5.882113594331012,13.640161514282227,14.30855655670166,13.776053428649902,13.456088066101074,13.136284828186035,13.970503807067871,13.627573013305664,13.527856826782227,-0.0002899169921875
1903155675931412096,339.2563323301122,34.41350349631617,-12.189055794318026,-12.71237498776981,17.542879104614258,18.68157196044922,17.876617431640625,17.171663284301758,16.582128524780273,18.30588722229004,17.42140007019043,17.033994674682617,0.3333936929702759
1903163475592041600,339.48678289508865,34.39688748231891,9.51838303025613,0.19368057779854997,16.718355178833008,17.61240005493164,16.91193962097168,16.50981330871582,16.099416732788086,17.202285766601562,16.70396614074707,16.512147903442383,-0.004907727241516113
1903137357893454592,339.2734410703039,34.23639893405667,-14.192638569941662,-15.735627791836194,17.305376052856445,18.77763557434082,17.7049617767334,17.047082901000977,16.450420379638672,18.241880416870117,17.284517288208008,16.920015335083008,-0.008930802345275879
1903137533989408512,339.34963028587185,34.2376528519023,11.755980993530432,-12.364242677041467,15.034049987792969,16.613513946533203,15.45241928100586,14.749086380004883,14.167688369750977,16.041324615478516,14.988754272460938,14.62447738647461,-0.00701594352722168
1903139183257026048,339.38803923213135,34.294897667543175,1.7826563856559279,3.359391600282958,14.59079647064209,15.329000473022461,14.747356414794922,14.39989185333252,14.041848182678223,14.967324256896973,14.58005142211914,14.443280220031738,0.0011821985244750977
1903177150768069376,339.44235630386066,34.520835846423694,10.950846997558054,7.451746671339213,15.617854118347168,16.741703033447266,15.885350227355957,15.380586624145508,14.89582347869873,16.26578140258789,15.594422340393066,15.330485343933105,-0.0044182538986206055
1903139801732490880,339.4181753071921,34.33961895978215,-1.6861350636888512,-5.297561213948099,16.18704605102539,17.112516403198242,16.416244506835938,15.995230674743652,15.582050323486328,16.70463752746582,16.194799423217773,15.992448806762695,0.000786900520324707
1903151484043347456,339.3559044144091,34.36551674031557,2.1075521112478697,-2.0824443018104133,17.231998443603516,18.390348434448242,17.493913650512695,16.99039649963379,16.532337188720703,17.88680648803711,17.19660186767578,16.95327377319336,-0.022230148315429688
1903151655842035968,339.3286481874503,34.369639486100716,6.604385596790562,5.048578518775465,13.142447471618652,14.46052074432373,13.430490493774414,12.879308700561523,12.378549575805664,13.901013374328613,13.097891807556152,12.817882537841797,-0.005212903022766113
1903151655842034560,339.32685631771403,34.379985235787494,6.608062973163865,4.996854458509295,15.70892333984375,16.808544158935547,15.941472053527832,15.462762832641602,15.027396202087402,16.316221237182617,15.664730072021484,15.44642448425293,-0.006097674369812012
1903151896360205184,339.3779671376889,34.38660789649036,-9.191658304719017,-6.297817238937869,15.141048431396484,15.888050079345703,15.298978805541992,14.949995040893555,14.58804702758789,15.522339820861816,15.132059097290039,14.990157127380371,0.0005114078521728516
1903153339469200384,339.3445255195659,34.46610701670989,2.395435828257839,-4.215294014874747,13.409761428833008,14.135947227478027,13.558394432067871,13.217391967773438,12.881467819213867,13.774293899536133,13.393840789794922,13.2756986618042,-0.001404404640197754
1903153167670510720,339.37176826984626,34.46721502610706,5.014685324468172,-12.359102233109283,17.122373580932617,17.974693298339844,17.253110885620117,16.829973220825195,16.372589111328125,17.552167892456055,17.037845611572266,16.794479370117188,0.10773801803588867
1903153648706669440,339.20101973018694,34.36765076827318,0.5501936966021936,-1.1173929641524576,16.325786590576172,17.231861114501953,16.525691986083984,16.10749626159668,15.685246467590332,16.812782287597656,16.30364990234375,16.102489471435547,0.027744650840759277
1903899529907580672,339.0433151546244,34.388892819272044,-2.792286593737662,-12.704025330057814,15.672922134399414,16.48635482788086,15.87058162689209,15.478449821472168,15.067440032958984,16.12137794494629,15.671878814697266,15.481693267822266,0.0013359785079956055
1903899495547842688,339.03779496393145,34.3663524837374,2.6097596881729253,-0.9081518002394704,16.01932144165039,17.16307830810547,16.253084182739258,15.765422821044922,15.328628540039062,16.656274795532227,15.966815948486328,15.75184154510498,-0.013054966926574707
1903906573651817856,339.11768733710096,34.52930284112031,4.6455645873160085,1.2279376587580964,16.292890548706055,17.015195846557617,16.45044708251953,15.997928619384766,15.602803230285645,16.719972610473633,16.193632125854492,16.015155792236328,0.3357774019241333
1903905577221531008,339.091375285634,34.43332003700697,4.37149652808463,-1.7536198825397964,14.911799430847168,15.872353553771973,15.121840476989746,14.693353652954102,14.257155418395996,15.43601131439209,14.892399787902832,14.680024147033691,0.0007634162902832031
1903906126977342336,339.12747324528664,34.47629372670508,-2.477758334553874,3.89527784854753,16.749330520629883,18.202497482299805,17.083740234375,16.48015594482422,15.961224555969238,17.610132217407227,16.704681396484375,16.404834747314453,-0.023025035858154297
1903907948043641984,339.17620467902697,34.54949425924457,-1.2449855003511525,-0.9283518694001559,17.560943603515625,18.392684936523438,17.756977081298828,17.35039520263672,16.9478702545166,18.02057456970215,17.53959083557129,17.366207122802734,-0.0030847787857055664
1903156775443029760,339.2203716723341,34.47032228201531,-6.636375468879061,2.849381604310259,17.427183151245117,18.758817672729492,17.77448272705078,17.173160552978516,16.640932083129883,18.232574462890625,17.40259552001953,17.082157135009766,-0.010481476783752441
1903163887908892800,339.47327774491976,34.44904702055219,-7.555502759413632,-5.339313934628334,16.246326446533203,17.209131240844727,16.448392868041992,16.02745819091797,15.619524002075195,16.766952514648438,16.218769073486328,16.035768508911133,-0.009558796882629395
1903139110241284224,339.46158078074865,34.34139118513865,1.0793169766088937,-2.3975483762538703,17.11009979248047,18.1282901763916,17.366283416748047,16.89725112915039,16.410404205322266,17.70335578918457,17.109458923339844,16.8416690826416,-0.0014551877975463867
1903139080177808640,339.4899630115365,34.350995587154884,-4.996479849750329,-0.8329805366379487,15.902347564697266,16.757003784179688,16.07762908935547,15.69186019897461,15.316795349121094,16.353736877441406,15.877885818481445,15.722689628601074,-0.008230090141296387
